               plain              key = 5              key = 7
                3,31                 4,26                 3,55
                5,20                 4,02                 3,31
                5,67                 4,73                 6,15
                6,38                 4,02                 5,44
                4,49                 4,49                 3,78
                4,96                 4,02                 3,31
                6,15                 3,07                 6,15
                5,91                 3,31                 2,84
                6,86                 2,36                 3,78
                5,44                 5,20                 4,96
                6,86                 4,49                 3,55
                4,96                 3,78                 3,55
                4,49                 5,67                 4,73
                6,86                 3,07                 6,38
                7,33                 7,33                 3,31
