               plain              key = 5              key = 7
                0,78                 0,00                 0,00
                4,31                20,00                14,12
                6,27                20,00                 1,18
                3,92                 0,00                 0,00
                3,53               100,00                14,51
                3,92                 0,00                 0,00
                7,45                20,00                97,25
                6,27                20,00                 0,39
                5,49                 0,00                13,73
                5,88               100,00                 3,92
                4,71                 0,00                 0,00
                1,96                20,00                14,51
                9,41                20,00                 0,00
                6,27                 0,00                94,51
                4,71               100,00                 0,78
